Sample name,Depth,Additoinal column1,Additoinal column2,Additoinal column3
Sample 143,167.6473566,NaN,NaN,NaN
Sample 144,169.9597135,NaN,NaN,NaN
Sample 145,170.2047138,NaN,NaN,NaN
Sample 146,175.35236,NaN,NaN,NaN
Sample 147,180.385,NaN,NaN,NaN
Sample 148,192.6473635,NaN,NaN,NaN
Sample 149,213.17,NaN,NaN,NaN
Sample 150,252.11,NaN,NaN,NaN
Sample 151,252.11,NaN,NaN,NaN
Sample 152,253.235,NaN,NaN,NaN
Sample 153,281.635,NaN,NaN,NaN
Sample 154,296.105,NaN,NaN,NaN
Sample 155,300.3,NaN,NaN,NaN
Sample 156,301.2,NaN,NaN,NaN
Sample 157,301.2,NaN,NaN,NaN
Sample 158,301.6,NaN,NaN,NaN
Sample 159,302.45,NaN,NaN,NaN
Sample 160,305.005,NaN,NaN,NaN
Sample 161,311.11,NaN,NaN,NaN
Sample 162,319.12,NaN,NaN,NaN
Sample 163,315,NaN,NaN,NaN
